Symptom,Disease
headache,Low Blood Sugar
extreme fatigue,Parkinson's Disease
dizziness,Electrolyte Imbalance
swollen joints,Laryngitis
itchy scalp,Parkinson's Disease
tightness in chest,Laryngitis
shaking hands,Gout
nausea and dizziness,Ascites
dizziness,Angina
red spots on skin,Colorectal Cancer
chronic fatigue,Allergy
vomiting,Low Blood Sugar
liver pain,Hyperhidrosis
painful abdomen,Seizures
sore throat,Shingles
cramps,COPD
chronic bloating,Allergic Conjunctivitis
painful mouth sores,Vitamin C Deficiency
persistent diarrhea,Glaucoma
intense pain in legs,Tonsillitis
cramps,Meningitis
coughing up blood,Celiac Disease
blurry vision,Irritable Bowel Syndrome
frequent urination,Aphthous Stomatitis
joint swelling,Diabetes
bloody stool,Lung Cancer
swollen joints,Laryngitis
stiffness in muscles,Laryngitis
burning sensation in chest,Asthma
frequent thirst,Ascites
unexplained weight loss,Tremors
skin discoloration,Allergic Reaction
hoarseness,Hyperlipidemia
numb fingers,Arrhythmia
pain in ribs,Ascites
pain in the chest,Seizures
pain in the chest,Seizures
weak pulse,Vestibular Disorder
unexplained weight loss,Psoriasis
sore throat,Shingles
painful stomach,Eczema
fainting,Diabetes
sore throat,Osteoarthritis
heart palpitations,Sciatica
feeling anxious,Asthma
excessive hunger,Osteoarthritis
blurry vision,Cyanosis
abdominal bloating,Aphthous Stomatitis
difficulty swallowing,Typhoid
painful urination,Arrhythmia
blue skin,Achalasia
blurry vision,Lymphoma
itchy eyes,Vitamin C Deficiency
shaking hands,Macular Degeneration
severe headache,Endometriosis
pain behind eyes,Pneumonia
shortness of breath,Cataracts
vomiting,Angina
painful skin,Diabetic Neuropathy
tiredness,Diabetes
stiff neck,Bronchitis
difficulty breathing,Irritable Bowel Syndrome
rash,Diabetes
excessive thirst,Hypothyroidism
painful urination,Urinary Tract Infection
leg swelling,Hyperthyroidism
itchy eyes,Gingivitis
liver pain,Leukemia
dry eyes,Gastritis
rash,Deep Vein Thrombosis
lump in breast,Myositis
headache and nausea,Electrolyte Imbalance
cold hands,Raynaud's Disease
coughing up mucus,Heart Disease
sensitivity to light,Hepatitis
blurry vision,Heart Disease
chronic sore throat,Migraine
constant itching,Anemia
sweating excessively,Diabetes Mellitus
itchy rash,Arthritis
painful urination,Diabetes
headache and nausea,Delirium
joint swelling,Pink Eye
swollen abdomen,Migraine
itchy throat,Canker Sores
frequent thirst,Angioedema
cramps,Cirrhosis
increased thirst,Meningitis
unexplained weight loss,Premenstrual Syndrome
skin discoloration,Chronic Fatigue Syndrome
wheezing,Mononucleosis
nausea and vomiting,Cyanosis
constant itching,Chronic Fatigue Syndrome
painful abdomen,Ataxia
red eyes,Myositis
constant itching,Heart Failure
bloody stools,Asthma
numbness in legs,Tremors
painful mouth sores,Macular Degeneration
swollen abdomen,Asthma
blurred vision,Liver Disease
cramps,Macular Degeneration
sweating excessively,Arthritis
leg swelling,Cyanosis
high blood pressure,Scoliosis
muscle weakness,Psoriasis
numbness in hands,Hypertension
high body temperature,Diabetes Mellitus
bloody cough,Diabetes
runny nose,Anemia
difficulty concentrating,Rheumatoid Arthritis
bloody stools,Heart Disease
painful feet,Rib Fracture
pale skin,Diabetes Mellitus
bloody cough,Lymphoma
